date,temp,precip,humidity,windspeed,text
2014-01-22,14.2,0.0,44.1,27.0,"Below normal temperatures are anticipated from January 25 to January 29, 2014, due to a stable ridging pattern and a deep cold trough affecting the eastern half of North America. An anomalously dry weather pattern is expected, particularly along the west coast of North America, with minimal precipitation forecasted. Significant winter weather impacts are projected for the northern plains, Great Lakes, and Mid-Atlantic regions as a series of clipper systems bring winter precipitation. An arctic boundary will be freshening, leading to a quick southward surge of cold Arctic air. Wind patterns may be influenced as this air mass moves. A well-organized clipper low is expected to develop, potentially causing further precipitation from the southern and southeastern U.S. into the western Atlantic. Forecast guidance is based on a blend of models, prioritizing the ECMWF ensemble mean as forecast spread increases."
2014-01-23,18.7,0.0,44.2,16.8,"Warming ridge aloft will persist through early next week, keeping temperatures below normal. Minimal breakdown of the weather pattern is expected, leading to a continued anomalously dry environment across the western US with limited precipitation in the Pacific Northwest and Northern Rockies. A series of mid-level clipper waves will bring winter precipitation from the Northern Plains to the Great Lakes, Appalachians, and Northeast. An Arctic surge will move southward, significantly dropping temperatures in the southern and southeastern states. An Arctic boundary will affect the Mid-Atlantic and New England regions this Sunday. A well-organized clipper low will bring cold conditions and high pressure across the Central and Eastern US from Monday to Wednesday. Significant Arctic blast is anticipated, impacting temperatures and precipitation, with possible weather developments off the East Coast. The forecast is based on a composite model blend of GFS, GEFS, ECMWF, and ECMWF ensemble mean, emphasizing reduced forecast spread and increased ECMWF weighting mid-week."
2014-01-24,17.6,0.0,38.7,17.5,"Cold conditions are expected across eastern North America due to a persistent trough. A cold front will move through the east coast on Monday, bringing colder high pressure to the southeast over the following days. Precipitation is likely along the cold front, particularly on Day 3, with increased potential for wintry precipitation in the Southeast and Southern Mid-Atlantic as a surface low develops around Wednesday/Thursday. Many areas may experience temperatures 15-30°F below normal, with records possibly being broken. In the western U.S., temperatures are forecasted to be 5-20°F above normal through Wednesday, decreasing as the week progresses. Lake effect snow is expected downwind from the Great Lakes, and light moisture may return to the western Gulf Coast and Lower Mississippi Valley later in the period."
2014-01-25,27.7,0.0,41.7,22.9,"Models indicate a transition from a highly amplified weather pattern to lower heights in the West and rising heights in the East, with a ridge forming over the Eastern Pacific near 140W by late next week. Extremely cold temperatures are expected in the Eastern CONUS on Tuesday and Wednesday, with minimum/maximum temperatures 15-30°F below normal, potentially setting daily record lows. Temperatures will moderate thereafter, although northern and eastern areas may remain somewhat below normal. The southern half of the Western U.S. may experience record highs of 10-20°F above normal through Thursday, trending cooler afterward. Light to moderate precipitation is anticipated mainly in northern areas, with a chance for wintry precipitation in the Southeastern/Southern Mid-Atlantic region midweek. Rainfall is expected in Florida during the first half of the period, with the potential for precipitation extending from the Western Gulf Coast to the Lower Mississippi Valley by Saturday. Confidence in placement and intensity of precipitation is lower due to significant model differences aloft. Snow will continue downstream from the un-frozen Great Lakes, influenced by a system expected Thursday."
2014-01-26,28.6,0.0,44.1,17.6,"A significant weather pattern change is expected; a Pacific ridge near 140W will lead to western CONUS troughing and southwest flow, increasing heights over the eastern CONUS. A mean frontal boundary will set up from the northern Rockies to the south-central plains and northeast coast, increasing precipitation coverage across the lower 48 states. Expect much below normal temperatures in the south and east from Wednesday to Thursday, possibly reaching record lows. Cold air may support wintry precipitation as far south as the Gulf and southeastern coasts. On Wednesday and Thursday, precipitation will primarily affect the Great Lakes, with snow expected due to a passing frontal system. Friday to Sunday will see a broadening area of precipitation, including snow, wintry mix, and rain from north to south. The northern-central plains and Great Lakes will experience the coolest temperatures, while southern regions trend above normal. After potential record warmth Wednesday to Thursday, temperatures in the western US will decline. Enhanced precipitation is likely in the north-central West, depending on uncertain mid-level and surface evolution."
2014-01-27,36.5,0.0,45.7,25.4,"Mid-latitude ridge building over the eastern pacific and Alaska; southern stream trough over the western US. Frontal boundary expected from the northern Rockies to the southern plains and eastern US, shifting organized precipitation from west to east. Confidence remains low for surface features, but larger scale forecasts show better agreement on embedded features. Initial warm temperatures in the southern interior west will rapidly moderate, while chilly temperatures persist in the southeastern lower 48. Below normal temperatures are expected in northern and western areas by late in the period. Central western regions will see the best organized precipitation late in the week, transitioning to lighter and more scattered precipitation afterward. Expect multiple episodes of precipitation starting Friday, with the highest totals from the lower Mississippi Valley into the Tennessee and Ohio Valleys. An approaching system will increase moisture and bring varied weather types, including areas of wintry mix, separating snow in the north from rain in the south."
2014-01-28,17.4,0.0,35.2,21.7,"Wetter pattern expected across the United States with increased moisture interacting with arctic air, leading to potential snow and ice impacts. Transition from a dry cross-polar pattern to a more zonal regime will bring winter weather threats from a series of shortwaves. Significant increase in snowfall anticipated in the western mountains, with additional effects over the Appalachians and eastern mountain regions."
2014-01-29,19.0,0.011,43.4,18.1,"Heavy snow and ice are possible next week from the Midwest to the Mid Atlantic and Northeast. Increased model spread indicates greater uncertainty, with wetter storm systems expected over the central and eastern U.S. Drier conditions are forecasted for the western region. A broad baroclinic zone from Texas to the Mid Atlantic suggests potential wintry precipitation, depending on the timing of shortwaves across the northern states. Risks of significant phasing with northern stream energy over the Midwest highlight potential hazard impacts across multiple regions."
2014-01-30,24.0,0.0,41.8,9.0,"Rounds of snow and ice are expected in the Midwest, Mid Atlantic, and Northeast, with uncertain timing of shortwaves impacting weather. Areas south of the polar front will see rain, while northern regions will experience snow or mixed precipitation. The Pacific Northwest and Four Corners will have deeper-layer moisture, while central and eastern states will be under broad southwesterly flow, leading to significant precipitation. Mostly snow is forecasted from the Central Plains to the interior Northeast, with rain and ice in cold air damming areas east of the Central and Northern Appalachians. Significant wintery precipitation is expected from the Red River Valley to the Mid Atlantic states on Sunday and Monday, with coverage shifting northward. A new round of precipitation is anticipated late in the period."
2014-01-31,35.2,0.0,41.8,8.8,"Ongoing high-impact winter weather is expected with a new, wetter regime. A narrow stripe of snow and ice will affect the central Appalachians and mid-Atlantic on Monday, followed by a more expansive precipitation event across the central and eastern U.S. from Tuesday through Wednesday. Mostly snow is anticipated from the central plains to the Saint Lawrence Valley, with mixed precipitation in the Appalachian region and soaking rains with convection south of the polar front. Late next week, a new round of precipitation influenced by return flow from the Gulf of Mexico will bring mixed wintry precipitation to the northern areas. The second half of the forecast period will be wetter, particularly in the coastal Pacific Northwest and southern Rockies, while southern California and the leeside of the northern Continental Divide will see relatively low precipitation."
2014-02-01,39.9,0.0,51.1,10.2,"Cold air across the northern states will lead to widespread rain, ice, and snow throughout the United States. A wet pattern is anticipated due to a moist stream from the south. Areas east of the Rockies will experience rain in the south and snow or mixed precipitation in the north. A significant weather event is developing, with a major impulse moving into the Appalachians from the southern plains and Gulf states, and a reload of energy from the desert southwest expected by next weekend."
2014-02-02,47.1,0.0,52.4,9.1,"An energetic, split flow is expected across the United States from February 5 to February 9, 2014, with two major synoptic waves of differing intensity and speed. Rain and snow will occur over much of the western region due to southern stream cyclones. The ECENS mean indicates a consistent trend, while GEFS is slower and CMCE is faster. Mixed precipitation is forecasted to the north, with rain south of the polar front. Significant cold-air damming east of the Appalachians is anticipated, resulting in mixed precipitation and rain."
2014-02-03,39.9,1.371,80.4,16.4,"A broad mean trough will affect the CONUS, with a shortwave upper low expected in the northwest on Thursday. Interaction with northern stream flow will influence surface evolution and precipitation types. A mid-level system is anticipated to reach the southern Rockies by Saturday and move through the eastern CONUS thereafter. Current models suggest reasonable forecasts for days 3-5, while an intermediate track is preferred for days 6-7 based on the 06Z GEFS and 00Z ECMWF means. Post-system, a flatter flow aloft will allow increased moisture to impact the central-northern west coast. 

Models show good agreement on initial energy over the northwest, while some discrepancies exist in speed and phasing as it shifts southeast. The GFS indicates a slower, more suppressed surface system moving into early next week. Snow is likely across the Great Basin/Four Corners late this week, with light rainfall in parts of California. A system from the Gulf will introduce moisture to the plains, affecting precipitation types in the eastern CONUS, with the central west coast favored for heavy precipitation. The coldest temperatures will be in the plains and Mississippi Valley on Thursday, with anomalies exceeding 30°F below normal, continuing cold conditions afterwards."
2014-02-04,33.8,0.019,63.5,9.9,"Upper-level flow is transitioning from a dominant ridge along the west coast to a flatter, moisture-laden westerly flow. Canadian airmasses will shift, incorporating Gulf of Mexico influences, transitioning to Pacific influences by February 11, 2014. A strong shortwave is moving south from the Canadian Rockies into the continental U.S., expected to enhance precipitation. Days 3-4 will see a winter system developing in the south central plains, tracking eastward to the east coast by Sunday night and Monday. Light to moderate rain and snow are expected in the western regions, translating eastward, with more significant systems affecting northern California and widespread moderate rain along the coast of Washington, Oregon, and California. Precipitation in southern New England may vary from robust to minimal. Overall, temperatures will remain relatively cold across nearly the entire continental U.S., with only central and southern Florida above climatological averages."
2014-02-05,36.3,0.364,79.8,29.0,"Milder weather pattern expected across the central U.S. as the lower 48 states transition to a Pacific-influenced flow, bringing much-needed precipitation. A coastal storm forming on the Atlantic Seaboard will impact areas from the Piedmont to New England. Moderate to heavy rain is forecasted for northern and coastal California, with several inches expected along the coast and in the Mendocino Range. A broad cyclonic flow from the southern Gulf of Alaska will enhance rain events. Light to modest precipitation anticipated in the Southeast this weekend, though its spread and amounts are uncertain. Canadian high pressure will usher in much colder air (10-20°F below climo) following the exiting system, affecting the central plains and bringing a brief cooling in Florida. Additional precipitation systems will impact coastal Washington."
2014-02-06,33.3,0.0,48.3,19.0,"Broad troughing from west to east will dominate the CONUS, leading to increased precipitation from a Pacific connection. Moisture will be deflected away from central/southern California toward the west coast and along the US/Mexico border into the southeast and the east coast. Precipitation will wane over California and the interior west with widespread modest rain/snow expected along I-40 to I-90, especially I-80. Cold high pressure will move eastward, resulting in temperatures 10-20°F below normal. A mid-level shortwave will track through Texas into the southeast, with renewed precipitation chances in the Pacific Northwest and rain/snow possible in the southeast and coastal mid-Atlantic. Variability exists regarding the timing and movement of energy between models, particularly with regard to the southern stream dynamics and surface low development along the southeast coast by day 7."
2014-02-07,35.7,0.0,49.9,10.7,"A low amplitude longwave trough will persist over the central CONUS from Monday to Friday, causing significant weather impacts. Wet conditions are anticipated across the Pacific Northwest and Southeast, with heavy lower elevation rains and higher elevation snows expected by Tuesday. Initially cold temperatures will warm across the Plains, Midwest, and Great Lakes. Uncertainty is high for Days 3/4 and 6/7 due to a retrograding block over Alaska and a decaying upper low in the Northeast Pacific. Mainly light snow is expected near the Northeast coast, while rain and mixed precipitation will develop in East Texas and the Lower Mississippi Valley, expanding towards the East Coast. By Thursday, deepening lows are predicted near the Mid-Atlantic coast, moving toward Nova Scotia by Friday. Low confidence in model solutions suggests emphasizing the southern stream to reduce interactions with the northern stream, resulting in a less impactful northern system over the Great Lakes and more stable high pressure across New England."
2014-02-08,31.9,0.0,46.3,9.6,"Very wet flow pattern in the northwest with a steady Pacific moisture stream. Mid-level waves are modifying a Canadian frontal boundary, extending southward into the Southeast and Mid-Atlantic regions. Challenges beyond day 4 due to fast-zonal Pacific flow. Blended mean solution of 8/00Z GEFS-ECENS serves as the base for the lower 48 states' forecast through day 7. A wavy impulse pattern from the Central Plains eastward is expected to influence storm tracks. Significant weather impacts are anticipated downstream from weak impulses moving through the Ohio and Tennessee valleys, leading to cyclones in the Canadian Maritimes. Heavy precipitation along the West Coast will vary significantly in intensity. A warmer pattern is expected due to quasi-stationary flow with reduced impacts from Canadian air mass intrusions. Overall, wet conditions are forecasted for day 3-7 across a broad portion of the West Coast."
2014-02-09,32.1,0.0,64.3,9.9,"Active weather period from February 12 to February 16, 2014, with moderate to strong temperatures across the Pacific Northwest and Northern Rockies due to a series of Pacific fronts. Expect wet conditions in the northwest and the southeastern/eastern U.S., with possible winter coastal low threats. Cold fronts will pass through the Cascades on days 4 and 6. Downstream effects include a consistent Canadian airmass, and the potential for mid-level storm tracks from the western Ohio Valley to the Carolinas and off the Outer Banks. Limited moisture availability from I-80 southward. Significant heavy precipitation is expected with terrain-enhanced snow from western Washington/Oregon to northern California, decreasing inland. Emerging winter low threats are anticipated across the central to eastern U.S., with possible well-organized winter precipitation from Wednesday to Friday. A coastal low is expected to develop off the eastern seaboard, with increased uncertainty regarding its track. A cold airmass surge will follow the passage of these systems, leading to quite wet conditions in the northwestern U.S. and a significant organized low-pressure system impacting the southern and eastern U.S."
2014-02-10,30.2,0.0,49.8,16.8,"Significant east coast storm expected February 13-17, 2014, with a modest ridge in the west and a trough in the east, transitioning to more zonal flow later. Threat for all snow may ease along coastal New York to New England due to surface high moving east of the coastline. Heaviest snow anticipated west of the major I-95 corridor, with additional precipitation expected from DC through New York; eastern New England vulnerable for weather pattern changes due to offshore anticyclone effects. Possible mixed precipitation and snow moving northeast across New England following the storm, with colder temperatures moving east-southeast from the Plains/Midwest by day 5. Continued high elevation snow expected across the Pacific Northwest, Great Basin, and central and northern Rockies. Forecast models show variations in storm track: NAM suggests a slight offshore trend, while ECMWF and UKMET lean slightly westward. Ensemble means indicate a clearer preference for a westward track from the ECMWF compared to the GFS. A potential for snowfall in the Plains and Mid-Atlantic on days 5 and 6 is noted, but details remain uncertain. Relaxation of the significant cold/wintry pattern may occur, though low probability wintry precipitation in the Ohio Valley and Mid-Atlantic states remains a possibility."
2014-02-11,26.8,0.0,44.2,13.6,"Wet conditions expected over the northern half of the west coast with multiple waves of precipitation moving eastward. The forecast utilizes a blend of ECMWF and GFS models, with moderate uncertainties in details. A significant storm is predicted for the east coast, enhancing weather patterns by early Saturday. Another system will track from the Great Lakes to the northeastern coast, while additional systems impact the Pacific Northwest and northern plains, with considerable variation in predictions, especially by Sunday. Multiple frontal systems will bring periods of enhanced rainfall and higher elevation snow. Warm temperatures are forecast over the southern two-thirds of the interior west and Rockies, with highs 15-20°F above normal in some areas. Lingering snow is likely in northern New England into Friday; light snow or rain expected along the trailing cold front from the Great Lakes system offshore by Saturday. Chilly conditions are anticipated in the eastern regions late this week, with temperatures moderating by early next week. Snow expected north of the surface low track during the weekend, with an organized precipitation shield anticipated across the eastern US by next Monday-Tuesday. Uncertainty remains regarding the evolution of a central-eastern wave over the weekend."
